Source,Target,Type,Id,Label,Weight
171,160,Directed,1,,10
167,169,Directed,2,,10
167,170,Directed,3,,10
166,167,Directed,4,,10
166,169,Directed,5,,10
166,170,Directed,6,,10
164,132,Directed,7,,10
169,166,Directed,8,,10
169,167,Directed,9,,10
169,168,Directed,10,,10
169,170,Directed,11,,10
150,1,Directed,12,,10
150,132,Directed,13,,10
150,158,Directed,14,,10
150,166,Directed,15,,10
159,158,Directed,16,,10
159,160,Directed,17,,10
162,132,Directed,18,,10
162,150,Directed,19,,10
162,158,Directed,20,,10
162,171,Directed,21,,10
162,161,Directed,22,,10
162,162,Directed,23,,10
162,163,Directed,24,,10
162,164,Directed,25,,10
162,167,Directed,26,,10
162,169,Directed,27,,10
162,170,Directed,28,,10
161,132,Directed,29,,10
161,162,Directed,30,,10
161,163,Directed,31,,10
171,158,Directed,32,,9
150,18,Directed,33,,9
132,150,Directed,34,,9
132,161,Directed,35,,9
132,162,Directed,36,,9
132,163,Directed,37,,9
132,164,Directed,38,,9
132,165,Directed,39,,9
171,132,Directed,40,,8
167,18,Directed,41,,8
167,23,Directed,42,,8
167,132,Directed,43,,8
167,145,Directed,44,,8
167,150,Directed,45,,8
167,158,Directed,46,,8
167,171,Directed,47,,8
167,159,Directed,48,,8
167,160,Directed,49,,8
167,161,Directed,50,,8
167,162,Directed,51,,8
167,163,Directed,52,,8
167,164,Directed,53,,8
167,165,Directed,54,,8
167,166,Directed,55,,8
167,168,Directed,56,,8
166,150,Directed,57,,8
166,168,Directed,58,,8
169,23,Directed,59,,8
169,132,Directed,60,,8
169,150,Directed,61,,8
169,158,Directed,62,,8
169,171,Directed,63,,8
169,159,Directed,64,,8
169,160,Directed,65,,8
169,161,Directed,66,,8
169,162,Directed,67,,8
169,163,Directed,68,,8
169,164,Directed,69,,8
169,165,Directed,70,,8
150,147,Directed,71,,8
150,171,Directed,72,,8
150,163,Directed,73,,8
158,141,Directed,74,,8
158,145,Directed,75,,8
158,150,Directed,76,,8
158,171,Directed,77,,8
158,159,Directed,78,,8
158,160,Directed,79,,8
170,159,Directed,80,,8
170,166,Directed,81,,8
170,167,Directed,82,,8
170,168,Directed,83,,8
170,169,Directed,84,,8
160,150,Directed,85,,8
160,158,Directed,86,,8
160,171,Directed,87,,8
160,159,Directed,88,,8
161,150,Directed,89,,8
161,158,Directed,90,,8
161,164,Directed,91,,8
171,150,Directed,92,,7
164,150,Directed,93,,7
164,161,Directed,94,,7
164,162,Directed,95,,7
164,163,Directed,96,,7
164,167,Directed,97,,7
132,6,Directed,98,,7
132,25,Directed,99,,7
158,103,Directed,100,,7
158,114,Directed,101,,7
158,132,Directed,102,,7
158,161,Directed,103,,7
158,162,Directed,104,,7
158,170,Directed,105,,7
160,132,Directed,106,,7
160,161,Directed,107,,7
160,162,Directed,108,,7
160,163,Directed,109,,7
160,164,Directed,110,,7
160,165,Directed,111,,7
160,166,Directed,112,,7
160,167,Directed,113,,7
160,168,Directed,114,,7
160,169,Directed,115,,7
160,170,Directed,116,,7
171,23,Directed,117,,6
171,145,Directed,118,,6
171,159,Directed,119,,6
171,162,Directed,120,,6
171,164,Directed,121,,6
171,166,Directed,122,,6
171,167,Directed,123,,6
164,158,Directed,124,,6
164,171,Directed,125,,6
164,165,Directed,126,,6
164,166,Directed,127,,6
164,169,Directed,128,,6
150,14,Directed,129,,6
150,21,Directed,130,,6
150,145,Directed,131,,6
150,159,Directed,132,,6
150,160,Directed,133,,6
150,161,Directed,134,,6
150,164,Directed,135,,6
150,167,Directed,136,,6
150,169,Directed,137,,6
150,170,Directed,138,,6
158,23,Directed,139,,6
158,73,Directed,140,,6
158,76,Directed,141,,6
158,95,Directed,142,,6
158,110,Directed,143,,6
158,123,Directed,144,,6
158,125,Directed,145,,6
158,166,Directed,146,,6
171,13,Directed,147,,5
171,147,Directed,148,,5
171,161,Directed,149,,5
171,163,Directed,150,,5
171,165,Directed,151,,5
171,169,Directed,152,,5
171,170,Directed,153,,5
167,13,Directed,154,,5
167,14,Directed,155,,5
167,33,Directed,156,,5
167,40,Directed,157,,5
167,54,Directed,158,,5
167,77,Directed,159,,5
167,103,Directed,160,,5
167,114,Directed,161,,5
167,120,Directed,162,,5
167,154,Directed,163,,5
166,13,Directed,164,,5
166,21,Directed,165,,5
166,23,Directed,166,,5
166,33,Directed,167,,5
166,54,Directed,168,,5
166,61,Directed,169,,5
166,87,Directed,170,,5
166,96,Directed,171,,5
166,103,Directed,172,,5
166,125,Directed,173,,5
166,132,Directed,174,,5
166,145,Directed,175,,5
166,154,Directed,176,,5
166,158,Directed,177,,5
166,171,Directed,178,,5
166,159,Directed,179,,5
166,160,Directed,180,,5
166,161,Directed,181,,5
166,162,Directed,182,,5
166,163,Directed,183,,5
166,164,Directed,184,,5
166,165,Directed,185,,5
164,5,Directed,186,,5
164,6,Directed,187,,5
164,23,Directed,188,,5
164,54,Directed,189,,5
164,58,Directed,190,,5
164,145,Directed,191,,5
164,154,Directed,192,,5
169,18,Directed,193,,5
169,33,Directed,194,,5
169,40,Directed,195,,5
169,54,Directed,196,,5
169,87,Directed,197,,5
169,103,Directed,198,,5
169,114,Directed,199,,5
169,120,Directed,200,,5
169,145,Directed,201,,5
169,154,Directed,202,,5
150,13,Directed,203,,5
150,141,Directed,204,,5
150,151,Directed,205,,5
150,162,Directed,206,,5
150,165,Directed,207,,5
132,1,Directed,208,,5
132,23,Directed,209,,5
132,47,Directed,210,,5
132,116,Directed,211,,5
132,145,Directed,212,,5
132,147,Directed,213,,5
132,151,Directed,214,,5
132,154,Directed,215,,5
158,1,Directed,216,,5
158,7,Directed,217,,5
158,13,Directed,218,,5
158,18,Directed,219,,5
158,21,Directed,220,,5
158,25,Directed,221,,5
158,37,Directed,222,,5
158,40,Directed,223,,5
158,46,Directed,224,,5
158,47,Directed,225,,5
158,54,Directed,226,,5
158,69,Directed,227,,5
158,90,Directed,228,,5
158,91,Directed,229,,5
158,96,Directed,230,,5
158,133,Directed,231,,5
158,135,Directed,232,,5
158,147,Directed,233,,5
158,151,Directed,234,,5
158,152,Directed,235,,5
158,163,Directed,236,,5
158,167,Directed,237,,5
158,169,Directed,238,,5
159,141,Directed,239,,5
159,145,Directed,240,,5
159,171,Directed,241,,5
159,161,Directed,242,,5
159,162,Directed,243,,5
159,163,Directed,244,,5
159,164,Directed,245,,5
159,166,Directed,246,,5
159,167,Directed,247,,5
159,170,Directed,248,,5
170,132,Directed,249,,5
170,150,Directed,250,,5
170,158,Directed,251,,5
170,171,Directed,252,,5
170,160,Directed,253,,5
170,161,Directed,254,,5
170,162,Directed,255,,5
170,163,Directed,256,,5
170,164,Directed,257,,5
170,165,Directed,258,,5
160,110,Directed,259,,5
160,135,Directed,260,,5
160,141,Directed,261,,5
160,145,Directed,262,,5
162,14,Directed,263,,5
162,18,Directed,264,,5
162,23,Directed,265,,5
162,25,Directed,266,,5
162,154,Directed,267,,5
162,159,Directed,268,,5
162,160,Directed,269,,5
162,165,Directed,270,,5
162,168,Directed,271,,5
161,1,Directed,272,,5
161,18,Directed,273,,5
161,23,Directed,274,,5
161,25,Directed,275,,5
161,91,Directed,276,,5
161,103,Directed,277,,5
161,112,Directed,278,,5
161,151,Directed,279,,5
161,171,Directed,280,,5
161,159,Directed,281,,5
161,160,Directed,282,,5
161,165,Directed,283,,5
161,166,Directed,284,,5
161,167,Directed,285,,5
161,168,Directed,286,,5
161,169,Directed,287,,5
161,170,Directed,288,,5
171,168,Directed,289,,4
164,159,Directed,290,,4
164,160,Directed,291,,4
164,170,Directed,292,,4
150,37,Directed,293,,4
150,49,Directed,294,,4
150,54,Directed,295,,4
150,55,Directed,296,,4
150,60,Directed,297,,4
150,61,Directed,298,,4
150,65,Directed,299,,4
150,83,Directed,300,,4
150,91,Directed,301,,4
150,92,Directed,302,,4
150,112,Directed,303,,4
150,114,Directed,304,,4
150,116,Directed,305,,4
150,123,Directed,306,,4
150,133,Directed,307,,4
150,152,Directed,308,,4
150,154,Directed,309,,4
132,4,Directed,310,,4
132,7,Directed,311,,4
132,14,Directed,312,,4
132,43,Directed,313,,4
132,77,Directed,314,,4
132,91,Directed,315,,4
132,95,Directed,316,,4
132,98,Directed,317,,4
132,103,Directed,318,,4
132,118,Directed,319,,4
132,171,Directed,320,,4
132,169,Directed,321,,4
158,49,Directed,322,,4
158,52,Directed,323,,4
158,70,Directed,324,,4
158,111,Directed,325,,4
158,119,Directed,326,,4
158,120,Directed,327,,4
158,164,Directed,328,,4
160,23,Directed,329,,4
171,1,Directed,330,,3
150,4,Directed,331,,3
150,7,Directed,332,,3
150,19,Directed,333,,3
150,23,Directed,334,,3
150,24,Directed,335,,3
150,25,Directed,336,,3
150,47,Directed,337,,3
150,66,Directed,338,,3
150,95,Directed,339,,3
150,96,Directed,340,,3
150,98,Directed,341,,3
150,103,Directed,342,,3
150,107,Directed,343,,3
150,110,Directed,344,,3
150,118,Directed,345,,3
150,136,Directed,346,,3
150,143,Directed,347,,3
150,168,Directed,348,,3
132,5,Directed,349,,3
132,15,Directed,350,,3
132,18,Directed,351,,3
132,21,Directed,352,,3
132,27,Directed,353,,3
132,36,Directed,354,,3
132,37,Directed,355,,3
132,49,Directed,356,,3
132,54,Directed,357,,3
132,55,Directed,358,,3
132,60,Directed,359,,3
132,61,Directed,360,,3
132,65,Directed,361,,3
132,66,Directed,362,,3
132,73,Directed,363,,3
132,92,Directed,364,,3
132,105,Directed,365,,3
132,111,Directed,366,,3
132,112,Directed,367,,3
132,119,Directed,368,,3
132,120,Directed,369,,3
132,130,Directed,370,,3
132,133,Directed,371,,3
132,135,Directed,372,,3
132,136,Directed,373,,3
132,140,Directed,374,,3
132,143,Directed,375,,3
132,152,Directed,376,,3
132,158,Directed,377,,3
132,159,Directed,378,,3
132,160,Directed,379,,3
132,166,Directed,380,,3
132,167,Directed,381,,3
132,168,Directed,382,,3
132,170,Directed,383,,3
158,55,Directed,384,,3
158,60,Directed,385,,3
158,61,Directed,386,,3
158,65,Directed,387,,3
158,71,Directed,388,,3
158,77,Directed,389,,3
158,83,Directed,390,,3
158,84,Directed,391,,3
158,87,Directed,392,,3
158,92,Directed,393,,3
158,94,Directed,394,,3
158,98,Directed,395,,3
158,106,Directed,396,,3
158,112,Directed,397,,3
158,118,Directed,398,,3
158,136,Directed,399,,3
158,154,Directed,400,,3
158,165,Directed,401,,3
158,168,Directed,402,,3
160,33,Directed,403,,3
171,18,Directed,404,,0.5
171,47,Directed,405,,0.5
171,49,Directed,406,,0.5
171,91,Directed,407,,0.5
171,92,Directed,408,,0.5
171,96,Directed,409,,0.5
171,114,Directed,410,,0.5
171,141,Directed,411,,0.5
167,3,Directed,412,,0.5
167,4,Directed,413,,0.5
167,5,Directed,414,,0.5
167,6,Directed,415,,0.5
167,7,Directed,416,,0.5
167,17,Directed,417,,0.5
167,21,Directed,418,,0.5
167,25,Directed,419,,0.5
167,30,Directed,420,,0.5
167,31,Directed,421,,0.5
167,32,Directed,422,,0.5
167,35,Directed,423,,0.5
167,37,Directed,424,,0.5
167,38,Directed,425,,0.5
167,39,Directed,426,,0.5
167,47,Directed,427,,0.5
167,49,Directed,428,,0.5
167,55,Directed,429,,0.5
167,60,Directed,430,,0.5
167,61,Directed,431,,0.5
167,62,Directed,432,,0.5
167,63,Directed,433,,0.5
167,64,Directed,434,,0.5
167,65,Directed,435,,0.5
167,66,Directed,436,,0.5
167,67,Directed,437,,0.5
167,68,Directed,438,,0.5
167,69,Directed,439,,0.5
167,70,Directed,440,,0.5
167,71,Directed,441,,0.5
167,72,Directed,442,,0.5
167,73,Directed,443,,0.5
167,75,Directed,444,,0.5
167,76,Directed,445,,0.5
167,83,Directed,446,,0.5
167,84,Directed,447,,0.5
167,85,Directed,448,,0.5
167,86,Directed,449,,0.5
167,87,Directed,450,,0.5
167,88,Directed,451,,0.5
167,89,Directed,452,,0.5
167,90,Directed,453,,0.5
167,91,Directed,454,,0.5
167,92,Directed,455,,0.5
167,93,Directed,456,,0.5
167,94,Directed,457,,0.5
167,95,Directed,458,,0.5
167,98,Directed,459,,0.5
167,106,Directed,460,,0.5
167,111,Directed,461,,0.5
167,112,Directed,462,,0.5
167,118,Directed,463,,0.5
167,123,Directed,464,,0.5
167,131,Directed,465,,0.5
167,136,Directed,466,,0.5
167,141,Directed,467,,0.5
167,147,Directed,468,,0.5
167,151,Directed,469,,0.5
167,152,Directed,470,,0.5
167,153,Directed,471,,0.5
166,7,Directed,472,,0.5
166,18,Directed,473,,0.5
166,31,Directed,474,,0.5
166,37,Directed,475,,0.5
166,40,Directed,476,,0.5
166,47,Directed,477,,0.5
166,49,Directed,478,,0.5
166,60,Directed,479,,0.5
166,65,Directed,480,,0.5
166,83,Directed,481,,0.5
166,91,Directed,482,,0.5
166,92,Directed,483,,0.5
166,95,Directed,484,,0.5
166,112,Directed,485,,0.5
166,114,Directed,486,,0.5
166,118,Directed,487,,0.5
166,120,Directed,488,,0.5
166,130,Directed,489,,0.5
166,135,Directed,490,,0.5
166,141,Directed,491,,0.5
166,143,Directed,492,,0.5
166,147,Directed,493,,0.5
166,151,Directed,494,,0.5
166,152,Directed,495,,0.5
164,1,Directed,496,,0.5
164,7,Directed,497,,0.5
164,14,Directed,498,,0.5
164,18,Directed,499,,0.5
164,25,Directed,500,,0.5
164,33,Directed,501,,0.5
164,37,Directed,502,,0.5
164,64,Directed,503,,0.5
164,77,Directed,504,,0.5
164,91,Directed,505,,0.5
164,103,Directed,506,,0.5
164,116,Directed,507,,0.5
164,143,Directed,508,,0.5
164,168,Directed,509,,0.5
169,1,Directed,510,,0.5
169,37,Directed,511,,0.5
169,47,Directed,512,,0.5
169,60,Directed,513,,0.5
169,77,Directed,514,,0.5
169,92,Directed,515,,0.5
169,98,Directed,516,,0.5
169,111,Directed,517,,0.5
169,118,Directed,518,,0.5
169,143,Directed,519,,0.5
150,6,Directed,520,,0.5
150,31,Directed,521,,0.5
150,33,Directed,522,,0.5
150,35,Directed,523,,0.5
150,39,Directed,524,,0.5
150,40,Directed,525,,0.5
150,46,Directed,526,,0.5
150,57,Directed,527,,0.5
150,69,Directed,528,,0.5
150,70,Directed,529,,0.5
150,71,Directed,530,,0.5
150,73,Directed,531,,0.5
150,76,Directed,532,,0.5
150,77,Directed,533,,0.5
150,97,Directed,534,,0.5
150,105,Directed,535,,0.5
150,106,Directed,536,,0.5
150,108,Directed,537,,0.5
150,109,Directed,538,,0.5
150,111,Directed,539,,0.5
150,120,Directed,540,,0.5
150,124,Directed,541,,0.5
150,125,Directed,542,,0.5
150,127,Directed,543,,0.5
150,130,Directed,544,,0.5
150,131,Directed,545,,0.5
150,135,Directed,546,,0.5
150,137,Directed,547,,0.5
150,140,Directed,548,,0.5
150,144,Directed,549,,0.5
150,155,Directed,550,,0.5
150,157,Directed,551,,0.5
132,33,Directed,552,,0.5
132,46,Directed,553,,0.5
132,83,Directed,554,,0.5
132,89,Directed,555,,0.5
132,96,Directed,556,,0.5
132,97,Directed,557,,0.5
132,106,Directed,558,,0.5
132,107,Directed,559,,0.5
132,108,Directed,560,,0.5
132,123,Directed,561,,0.5
132,124,Directed,562,,0.5
132,125,Directed,563,,0.5
132,131,Directed,564,,0.5
132,155,Directed,565,,0.5
132,157,Directed,566,,0.5
158,4,Directed,567,,0.5
158,12,Directed,568,,0.5
158,14,Directed,569,,0.5
158,31,Directed,570,,0.5
158,33,Directed,571,,0.5
158,35,Directed,572,,0.5
158,43,Directed,573,,0.5
158,48,Directed,574,,0.5
158,57,Directed,575,,0.5
158,63,Directed,576,,0.5
158,66,Directed,577,,0.5
158,75,Directed,578,,0.5
158,78,Directed,579,,0.5
158,79,Directed,580,,0.5
158,82,Directed,581,,0.5
158,89,Directed,582,,0.5
158,93,Directed,583,,0.5
158,105,Directed,584,,0.5
158,107,Directed,585,,0.5
158,116,Directed,586,,0.5
158,122,Directed,587,,0.5
158,130,Directed,588,,0.5
158,131,Directed,589,,0.5
158,137,Directed,590,,0.5
158,140,Directed,591,,0.5
158,143,Directed,592,,0.5
158,144,Directed,593,,0.5
158,155,Directed,594,,0.5
158,157,Directed,595,,0.5
159,1,Directed,596,,0.5
159,2,Directed,597,,0.5
159,18,Directed,598,,0.5
159,23,Directed,599,,0.5
159,132,Directed,600,,0.5
159,165,Directed,601,,0.5
159,169,Directed,602,,0.5
170,1,Directed,603,,0.5
170,23,Directed,604,,0.5
170,61,Directed,605,,0.5
170,103,Directed,606,,0.5
170,111,Directed,607,,0.5
170,145,Directed,608,,0.5
160,1,Directed,609,,0.5
160,18,Directed,610,,0.5
160,49,Directed,611,,0.5
160,69,Directed,612,,0.5
160,72,Directed,613,,0.5
160,76,Directed,614,,0.5
160,96,Directed,615,,0.5
160,103,Directed,616,,0.5
160,114,Directed,617,,0.5
160,147,Directed,618,,0.5
160,152,Directed,619,,0.5
162,1,Directed,620,,0.5
161,47,Directed,621,,0.5
161,54,Directed,622,,0.5
161,60,Directed,623,,0.5
161,65,Directed,624,,0.5
161,75,Directed,625,,0.5
161,84,Directed,626,,0.5
161,92,Directed,627,,0.5
161,98,Directed,628,,0.5
161,114,Directed,629,,0.5
161,117,Directed,630,,0.5
161,118,Directed,631,,0.5
161,143,Directed,632,,0.5
161,145,Directed,633,,0.5
161,147,Directed,634,,0.5
161,152,Directed,635,,0.5
